,channel1,channel2,series1,series2,duration1,duration2,"cc_4,0","cc_4,1","cc_4,2","cc_4,3","cc_3,0","cc_3,1","cc_3,2","cc_2,0","cc_2,1","cc_1,0",min_cc,mean_cc
0,ch1,ch1,1,1,"0,1","0,1",0.9760811680426418,0.8549187387590298,0.8966480977569262,0.7622016533790816,0.8456554455976822,0.9747882766058923,0.734100259935349,0.8941993851442562,0.821166368586079,0.9384014773324059,0.734100259935349,0.8698160871139343
1,ch2,ch2,1,1,"0,1","0,1",0.999813822064097,0.9999176695179481,0.9999492529628586,0.9999660804025456,0.9998709427383078,0.9999462437262098,0.999960191104922,0.9998994495474928,0.999958373519609,0.9999334275331511,0.999813822064097,0.999921545311714
2,ch1,ch1,2,2,"0,1","0,1",0.9237471464947221,0.786962417889561,0.7214322569246856,0.9806586546177938,0.9724411972238053,0.7695503229505904,0.7940485258227173,0.902330264858549,0.8135894959260819,0.7300371316638083,0.7214322569246856,0.8394797414372315
3,ch2,ch2,2,2,"0,1","0,1",0.12147167853704688,0.12640896705287785,0.12285259849110519,0.13002534488610829,0.9714107026707431,0.9785313133689593,0.9706289069362983,0.9773691861772882,0.9688718140522786,0.9707179531444798,0.12147167853704688,0.6338288465317186
4,ch1,ch1,3,3,"0,1","0,1",0.7876640835817512,0.7524239540557827,0.7537855819855357,0.7002614735855381,0.6370945239900778,0.8042666943396174,0.9306067303277584,0.619810969654984,0.8237609952033551,0.8007539425678039,0.619810969654984,0.7610428949292205
5,ch2,ch2,3,3,"0,1","0,1",0.8545702273797172,0.8296075368275121,0.9950861544815,0.9946360456172985,0.8842050080261069,0.8636183258244247,0.9989966798471349,0.8818249732396531,0.8607560147430873,0.9890983387881387,0.8296075368275121,0.9152399304774574
6,ch1,ch1,1,1,"0,3","0,3",0.8151871854209624,0.8056857302623837,0.7963773666028569,0.9915263125718478,0.7728266194478197,0.8097861176104126,0.7999438553331134,0.7005524319170008,0.9920732953807203,0.6762327753496644,0.6762327753496644,0.8160191689896783
7,ch2,ch2,1,1,"0,3","0,3",0.9723177709185263,0.9752915630757005,0.9760838155734598,0.9718929383257577,0.9735277273501579,0.9723440289520465,0.9758932095620908,0.975019653913375,0.9743838938738545,0.9739490574543906,0.9718929383257577,0.9740703658999358
8,ch1,ch1,2,2,"0,3","0,3",0.7913106565882312,-39.53371557138405,0.9754402279015508,0.8478811167143236,0.9839183130455351,-45.21210957585663,0.9083927508535897,0.8549829504512234,-43.86059375641474,-0.07908177817522888,-45.21210957585663,-12.332357466627617
9,ch2,ch2,2,2,"0,3","0,3",0.9049102003037545,-11.849563199867484,0.905952321891842,0.9081973769977583,0.9814082948489328,-24.73418976094705,0.9834419289904511,0.9824681903289462,-24.96985365156636,0.044612685732216995,-24.96985365156636,-5.5842615613287
10,ch1,ch1,3,3,"0,3","0,3",0.8961909570194241,0.8269008984061235,0.9512492827383813,0.8795410840567183,0.8973621904666593,0.8200185853508974,0.8871823713075531,0.8149639456053475,0.8966154239921033,0.7222661427032864,0.7222661427032864,0.8592290881646495
11,ch2,ch2,3,3,"0,3","0,3",0.9714116760889517,0.9721067046120918,0.9715093724584366,0.9759242650560067,0.9697467462422665,0.9737960009281449,0.9744060601664681,0.972351904026979,0.9741489683693155,0.9746587897837716,0.9697467462422665,0.9730060487732434
12,ch1,ch1,1,1,"0,8","0,8",0.8256715931138989,0.7382150412075708,0.999116058164923,0.9987175787949747,0.8157933558048351,0.7344723071036162,0.9996455724658957,0.8186833515271013,0.7353574538642677,0.7532424854951107,0.7344723071036162,0.8418914797542193
13,ch2,ch2,1,1,"0,8","0,8",0.997846040565882,0.9992879412723911,0.9993171278826272,0.9991411429567987,0.9989540656211972,0.9991575099440885,0.9991426074959413,0.9980626445624743,0.9995179016325051,0.9982475595619121,0.997846040565882,0.9988674541495819
14,ch1,ch1,2,2,"0,8","0,8",0.9039622078563133,0.8849472269829175,0.87233823278482,0.8163499479293952,0.6898815722061707,0.6782462817742527,0.7922062102182902,0.8074813534756226,0.7908013317279602,0.9985509656826347,0.6782462817742527,0.8234765330638376
15,ch2,ch2,2,2,"0,8","0,8",0.9988685584778686,0.9994520853782501,0.9997351124542504,0.9997714719751293,0.9992409685694031,0.9996881622810426,0.9998503683358057,0.9993937686381676,0.999771008770863,0.9997084310783639,0.9988685584778686,0.9995479935959144
