channel,duration,num_exp,count_dot
ch1,"0,2",1,1000.0
ch1,"0,2",1,1000.0
ch1,"0,2",1,1000.0
ch1,"0,2",1,1000.0
ch1,"0,2",1,1000.0
ch1,"0,3",1,1000.0
ch1,"0,3",1,1000.0
ch1,"0,3",1,1000.0
ch1,"0,3",1,1000.0
ch1,"0,3",1,1000.0
ch1,"0,5",1,1000.0
ch1,"0,5",1,1000.0
ch1,"0,5",1,1000.0
ch1,"0,5",1,1000.0
ch1,"0,5",1,1000.0
ch1,"0,8",1,1000.0
ch1,"0,8",1,1000.0
ch1,"0,8",1,1000.0
ch1,"0,8",1,1000.0
ch1,"0,8",1,1000.0
ch1,"1,4",1,1000.0
ch1,"1,4",1,1000.0
ch1,"1,4",1,1000.0
ch1,"1,4",1,1000.0
ch1,"1,4",1,1000.0
ch1,"2,4",1,1000.0
ch1,"2,4",1,1000.0
ch1,"2,4",1,1000.0
ch1,"2,4",1,1000.0
ch1,"2,4",1,1000.0
ch1,4,1,1000.0
ch1,4,1,1000.0
ch1,4,1,1000.0
ch1,4,1,1000.0
ch1,4,1,1000.0
ch1,"0,2",2,1000.0
ch1,"0,2",2,1000.0
ch1,"0,2",2,1000.0
ch1,"0,2",2,1000.0
ch1,"0,2",2,1000.0
ch1,"0,3",2,1000.0
ch1,"0,3",2,1000.0
ch1,"0,3",2,1000.0
ch1,"0,3",2,1000.0
ch1,"0,3",2,1000.0
ch1,"0,5",2,1000.0
ch1,"0,5",2,1000.0
ch1,"0,5",2,1000.0
ch1,"0,5",2,1000.0
ch1,"0,5",2,1000.0
ch1,"0,8",2,1000.0
ch1,"0,8",2,1000.0
ch1,"0,8",2,1000.0
ch1,"0,8",2,1000.0
ch1,"0,8",2,1000.0
ch1,"1,4",2,1000.0
ch1,"1,4",2,1000.0
ch1,"1,4",2,1000.0
ch1,"1,4",2,1000.0
ch1,"1,4",2,1000.0
ch1,"2,4",2,1000.0
ch1,"2,4",2,1000.0
ch1,"2,4",2,1000.0
